Timestamp,Gender,Age,Education,Occupation,How many years have you been working as a software engineer?,What is your current level of expertise in software engineering?,Which company(s) do you currently work for or have you previously worked for in the past as a software engineer?,Which of the following types of companies have you worked for as a software engineer? (Select all that apply),How familiar are you with the concept of dark patterns (deceptive patterns) in user interface design?,Have you ever been involved in implementing dark pattern user interface designs in your work as a software engineer?,"Which types of dark pattern designs have you implemented in your work as a software engineer? (Select all that apply)
Image sources: Nagging, Obstruction, Sneaking, Interface Interference, Forced Action",Have you ever been pressured or encouraged by stakeholders or management to implement dark patterns in your projects?,What factors influence your decision to implement dark patterns in your projects? (Select all that apply),What factors influence your decision not to implement dark patterns in your projects? (Select all that apply),How do you perceive the impact of dark patterns on user trust?,How do you perceive the impact of dark patterns on user satisfaction?,How important do you believe it is to prevent the implementation of dark patterns in software development?,Have you ever raised concerns or objections about the use of dark patterns in your projects?,"If yes, please provide further details or examples of the specific dark patterns you objected to and the reasons behind your concerns.",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,Have you utilized any tools or software to enhance the user interface (UI) design of your software applications?,"If yes, please specify the tools or software you have used for UI design improvement. Have these tools contributed to the implementation of dark patterns in your code?",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,Which of the following alternative solutions do you think could be helpful in preventing the implementation of dark patterns in software?,"In your opinion, what ethical responsibilities do software developers have regarding the use of dark patterns in user interface design?",Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization,"Do you believe there should be industry regulations or guidelines regarding the use of dark patterns in software development? Why, and why not?",Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,categoraization
4/23/2024 8:34:37,Male,25 - 34,High School,Software developer,6 - 10 years,Software Engineer,,"Technology/Software Company, Goverment",5,Yes,"Obstruction - The user encounters obstacles or challenges that impede their ability to successfully accomplish the task or obtain the necessary information, Interface Interference - The user anticipates a clear and predictable presentation of information on the page, but instead, it is concealed, obscured, or disguised, Highlight ""Allow all cookies""",Yes,"Meeting business goals or targets, Company culture","Ethical considerations, Legal compliance, User experience (UX) principles",Negative,Negative,4,"Yes, but they were ignored","1) Highlight an ""allow all cookies"" button, because I do not believe an unaware user wants to allow tracking. 2) Have an ""allow us to send you marketing emails"" checkbox marked by default, as users probably do not want to receive marketing emails.","avoid dark patterns, highlight ""allow all cookies"" button, marketing emails, preselection","cookie consent, tracking, marketing emails, checkbox, preselection","avoid dark pattern, cookie consent, marketing emails, preselection","example: false consent informed, user underaware",Yes,Wave accessibility extension. Never contributed to dark patterns.,"Wave accessibility extension, no contribution to DPs","Wave accessibility extension, no dark pattern","Wave accessibility extension, no dark pattern","accessibility analytics, extension tools, no dark patterns","Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",I believe the unethical decisions come from high-ups. I've never met a developer who wants to implement dark patterns for the company they work for.,"high-up decisions, non-developers choices, hard to avoid",decision of dp comes from higher authority,high-up decisions,company support,"I believe it would be beneficial. GRPR for instance is a good thing in my opinion.

Cookie-consent buttons are not there yet, as the guidelines are a bit vague, but with a more specific revision with explicit examples of what is allowed and not allowed would be great.

Enforcing rules will be a bit hard I think, and it is very important that the rules are clear. Current cookie-consent is not good enough.",negative,positive,positive,"gdpr, cookie consent, vague guidelines, clear rules","GDPR, cookie consent, ","GDPR, cookie consent, clear guidelines",yes
4/23/2024 11:45:18,Male,35 - 44,Bachelor's degree,Linux Systems Administrator,6 - 10 years,Software Engineer,,"Technology/Software Company, Manufacturing/Industrial, Non-profit Organization",5,Yes,"Nagging - The user tries to do something, but their efforts are consistently interrupted by other requests to divert their attention to other tasks, Obstruction - The user encounters obstacles or challenges that impede their ability to successfully accomplish the task or obtain the necessary information",Yes,"Pressure from stakeholders or management, Meeting business goals or targets","Ethical considerations, Legal compliance, User experience (UX) principles",Negative,Negative,5,"Yes, and they were addressed",I have stopped several nagging attempts by citing user criticism.,"avoid dark patterns, nagging, user criticism","nagging, avoid dark pattern","avoid dark pattern, nagging",details: avoid using dark patterns,No,"pa11y, no.",pa11y,,pa11y,"accessibility analytics, command-line tool",Implementation of industry-wide standards or regulations,Ethics are in the eye of the beholder and are not consistent across any group of people I have met.,"beholders, non-consistent ethics",ethical boundaries can be subjective ,ethical boundaries can be subjective ,subjective,"Yes. Until we have regulation with real consequences, dark patterns will continue to be prevalent.

I am adding more here, because there was not a general comments section.

This form has at least one dark pattern. Question 1 has a forced checkbox as ""Record ___ as the email to be included with my response"" where question 2 provides an alternative.

An anonymous survey on Google Forms is not anonymous as Google can read all responses. You and your organization may be handling your data ethically, but the user has no guarantee of this and cannot expect Google to do the right thing. The only solution here is host your own survey using software that can be independently audited by third-parties.",negative,positive,positive,"regulation needed, prevalent dark patterns, anonymous form, data collection","consequences, prevalant, preselection, record email, Google ethical?, personal software for survey","regulation, data collection, anonymous form",yes
4/23/2024 12:19:50,Male,35 - 44,Bachelor's degree,Product Designer,3 - 5 years,Software Engineer,,Technology/Software Company,5,Maybe,"Nagging - The user tries to do something, but their efforts are consistently interrupted by other requests to divert their attention to other tasks, Interface Interference - The user anticipates a clear and predictable presentation of information on the page, but instead, it is concealed, obscured, or disguised",Yes,"Pressure from stakeholders or management, Company culture","Ethical considerations, User experience (UX) principles",Very negative,Very negative,5,"Yes, and they were addressed",,,,,,Yes,,,,,,Implementation of industry-wide standards or regulations,,,,,,,,,,,,,
4/25/2024 12:12:22,Non-binary,25 - 34,Bachelor's degree,Software Developer,6 - 10 years,Software Engineer,"MIT, REDCOM, Second Avenue Learning, Brazen, Oracle","Technology/Software Company, Education",5,No,Not applicable/I've never implemented a dark pattern design before,Maybe,Pressure from stakeholders or management,"Ethical considerations, User experience (UX) principles",Very negative,Neutral,5,Maybe,"More often, I have passively refused to implement bad UX rather than directly arguing with management, but when discussed, I have articulated why those patterns are bad for our UX.","avoid dark patterns, bad UX design, discussion with with superiors","avoid dark pattern, UI/UX design","avoid dark pattern, UI/UX design, colleagues discussion","details: avoid using dark patterns, bad UI designs",Yes,A variety of UI libraries.  I haven't used them to implement darkpatterns.,"UI libraries, no contribution to DPs","UI libraries, no dark pattern","UI libraries, no dark pattern","frameworks/libraries, no dark patterns","Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams","I think engineers and designers do have a responsibility to prioritize the well-being of the people who use what we make, including mental health and not taking advantage of ways in which they may be vulnerable.  While individual engineers and designers may stick to our principles, because these requests often come from managers who control whether we stay employed, I don't know how we solve this across the industry without regulation.","priority customer focus, high-up decisions, non-developers choices, hard to avoid, regulation intervention needs","mental health awareness, not take advantage of vulnerability, user experience, instructions from higher authorities","customer focus, high-up decisions, regulation",regulation needed,"Yes.  I think government is woefully behind the times understanding these issues, and frustratingly uncurious about them, so I am pessimistic about things improving, but we need reasonable restrictions on exploiting people in the same way we have for “brick and mortar” businesses or older exploatitative establishments like casinos.",negative,positive,positive,"regulation needed, understanding latency, uncurious, pessimistic of improvement, reasonable restrictions","government, uncurious, pessimistic, 'brick and mortar', exploatitative establishments, casinos","regulation, uncurious, pessimistic, government",yes but doubt
4/25/2024 19:47:20,Male,35 - 44,Master's degree,Software engineer,6 - 10 years,Staff Engineer,Runway,"Technology/Software Company, Financial Services, Medical/Healthcare, Non-profit Organization",4,Maybe,Not applicable/I've never implemented a dark pattern design before,No,Meeting deadlines,"User experience (UX) principles, Company culture",Very negative,Negative,3,Maybe,A related issue is to neglect accessibility guidelines. Then I've argued successfully to follow standards where they exist.,"accessibility guidelines neglection, argue, follow standards",following standards,"follow standards, accessibility guidelines neglected",details: follow standards,Yes,Chrome dev tools give warnings and lighthouse can give some actionable tips.,"Chrome dev tools, Lighthouse, warning notice, actionable tips notice","Chrome dev tools, warnings, lighthouse, actionable tools","Chrome dev tools, warnings, Lighthouse, actionable tools",Chrome DevTools,"Strict adherence to ethical guidelines in UI/UX design, Encouraging a culture of transparency and accountability within development teams, Working closely with designers, they are usually great advocates of users.",A lot! We are the ones that actually implement the designs so we are in a great place to understand the full extent of the impact that ui patterns will have on the users.,knowledge of impact of UI designs on users,"understand the impact of dp, user experience","knowledge of dark pattern, user experience",lots,targeting dark patterns is probably a losing game since they will always come and go. i feel like it's better to focus on industry standards like WCAG. regulation can also be helpful along the lines of: it should be as easy to close an account as it is to open a new account.,negative,negative,neutral,"losing game, industry standards, WCAG, ","industry standards, WCAG, easy to close an account","industry standards, WCAG, user experience",unsure/doubt
4/26/2024 8:29:09,Male,18 - 24,Bachelor's degree,Ms.C. Student,1 - 2 years,Junior Software Engineer,,Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,No,n.a.,"Ethical considerations, User experience (UX) principles, Company culture",Negative,Very negative,5,Not Applicable,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices","In my opinion, dark patterns have an huge impact on customers' trust about a brand, especially when they are too obvious to perceive, hence it is important to avoid implementing dps.","avoid DPs design, avoid DPs implementation, trust harm of brand ",effects trust on the company,"avoid dark pattern, trust issues",no implementation,I think regulations should be created to enforce good UX and avoiding illegal practices.,netural ,positive,positive,"regulation needed, enforce good UX, avoid illegal practices","UI/UX design, avoid illegal practices","regulation, UI/UX design, avoid illegal practices",yes
4/26/2024 14:34:38,Male,18 - 24,Bachelor's degree,Software Engineer,3 - 5 years,Software Engineer,Varens SoftTech,"Technology/Software Company, Education",3,No,Not applicable/I've never implemented a dark pattern design before,No,None,"Ethical considerations, Legal compliance, User experience (UX) principles, Company culture",Very negative,Very negative,5,Not Applicable,,,,,,Maybe,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",I believe engineers should challenge and call out dark patterns being provided by designer or business requirements and stakeholders.,"push back, client requirements","object to stakeholders, designers etc. ","client requirements, object to dark pattern",raise concerns,"Yes, I believe policies and guidelines are important in the preventions of the use of dark patterns and government regulators forcing companies to adhere to said policies and guidelines could greatly reduce the use of these dark patterns.",netural ,positive,positive,"policies, guidelines, reduce dark patterns","government regulators force comany to policies, be ethical","government, clear guidelines, regulation, avoid dark pattern",yes
4/27/2024 11:29:28,Male,18 - 24,Bachelor's degree,Freelancer,3 - 5 years,Software Engineer,,"Technology/Software Company, Non-profit Organization",5,No,Not applicable/I've never implemented a dark pattern design before,No,Pressure from stakeholders or management,"Ethical considerations, Legal compliance, User experience (UX) principles",Very negative,Very negative,5,Maybe,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams",They should think like what if their loved ones got snitched in by the Dark patterns they developed themselves.,"designs self-hated, relative snitched by DPs",consider the impact thinking of their loved ones,disliked designs,self-reflection,It's a straight out yes. It's good for the Company and also the users.,positive,positive,positive,"regulation needed, benefits company, benefits users",good for company and users,"regulation, benefit users/company",yes
4/29/2024 11:10:56,Male,18 - 24,Bachelor's degree,student,1 - 2 years,Junior Software Engineer,,Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,No,Pressure from stakeholders or management,"Ethical considerations, Legal compliance",Positive,Very negative,5,Not Applicable,,,,,,Maybe,,,,,,"Implementation of industry-wide standards or regulations, Encouraging a culture of transparency and accountability within development teams","Respect the choices of users, especially the elderly, children and people with difficulties","respect users' dignity, special groups, elderly, children, disabled ","respect user, user experience","respect users, user experience, special groups",minority groups caring,"Yes, beacuse dark pattern are fraudulent practices. Therefore regulations are necessarily needed",negative,positive,positive,"regulation needed, fraudulent practices","fraudulent practices, regulations needed","fraudulent practices, regulations ",yes
4/30/2024 12:27:45,Male,18 - 24,Bachelor's degree,Mobile App Developer,3 - 5 years,Software Engineer,Inovonics Corporation,Technology/Software Company,5,No,Not applicable/I've never implemented a dark pattern design before,No,N/A,Ethical considerations,Very negative,Very negative,5,Not Applicable,,,,,,Yes,"The projects I've worked on recently have used multiple package imports, including Agora, Firebase, and Rive. None of them have contributed to any implementation of dark patterns in the code.","Agora, Firebase, and Rive, no contribution to DPs","package import, Agora, Firebase, Rive, no dark pattern","Agora Firebase, Rive, no dark pattern","real-time communication platforms, Backend-as-a-Service (BaaS), animation design tools ","Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Encouraging a culture of transparency and accountability within development teams","In general, human beings have an ethical obligation to avoid harming others; dark patterns are harmful, so we have an ethical imperative to avoid using them.","avoid DPs design, avoid DPs implementation, ethical imperative, no harm to users","avoid dark pattern, ethical issues","avoid dark pattern, ethical issues, object to dark patterns","avoid harm, no implementation","If implementing dark patterns would lead to legal consequences and/or damage to reputation, they would be less prevalent, which in my opinion would be a good thing.",positive,positive,positive,"legal consequences, reputation damage, less prevalent dark patterns","legal consequences, less prevelant","legal consequences, less prevelant dark patterns",yes
4/30/2024 12:36:26,Male,Over 55,Some College,Data Protection Officer,Over 10 years,Senior Software Engineer,"Microsoft, Boeing, Adobe","Technology/Software Company, Financial Services, Medical/Healthcare, Goverment, Education, Manufacturing/Industrial, Non-profit Organization",5,Yes,"Sneaking - The user is drawn into a transaction on false pretenses because related information is hidden or disguised from them, Interface Interference - The user anticipates a clear and predictable presentation of information on the page, but instead, it is concealed, obscured, or disguised",Not Applicable,hidden fields and triggers for debugging/analytics,Legal compliance,Negative,Very negative,4,No,,,,,,Yes,accessibility code analysis generally exposes dark patterns,"accessibility code analysis, DPs exposion","accessibility code analysis, expose dark pattern","accessibility code analysis, expose dark pattern",accessibility analytics,providing tools for developers with tests,"almost none, unless they are the designers or own the requirements","none, high-up decisions",none since they don't design it,"none, high-up decisions",no,Only if guidelines and regulations are coded AND built at the speed of engineering  ,netural ,neutral,neutral,"keep pace, up to date","guidelines are coded, growing industry, fast",keep up to date,yes but doubt
4/30/2024 12:44:58,Female,18 - 24,Some College,Software engineer,3 - 5 years,Software Engineer,"Element, Timmons, and Sea Island Software",Technology/Software Company,4,No,Not applicable/I've never implemented a dark pattern design before,No,"Pressure from stakeholders or management, Meeting business goals or targets","Ethical considerations, User experience (UX) principles, Company culture",Very negative,Negative,4,No,,,,,,Yes,"Figma, Radix UI, React Spring, Vaul - No","Figma, Radix UI, React Spring, Vaul, no contribution to DPs","Figma, Radix UI, React Spring, Vaul, no dark pattern","Figma, Radix UI, React Spring, Vaul, no dark pattern","design tools, frontend frameworks, no dark patterns","Strict adherence to ethical guidelines in UI/UX design, Providing education and training on the ethical implications of UI design choices, Encouraging a culture of transparency and accountability within development teams","Front-end software developers should be educated on what common dark patterns look like, and how to avoid them if they also do UI design as part of their job. Developers have an ethical responsibility to make reasonable efforts to resist pressure from management to implement dark patterns, and to talk with others in their organization who they notice have designed a dark pattern.","frontend developer, dark patterns education, push back, argue against, pressure from management","dark pattern education, UI/UX design, ethical responsbility, object, discuss","dark pattern education, UI/UX design, ethical responsbility, object to dark patterns, high-up decisions","knowledge education, raise concerns","Generally, no, because I have no idea how you would word legislation to effectively regulate dark patterns in the general case. But I do believe that specific consumer protection measures can combat some of the worse cases of dark patterns. For example, Comcast conceals their Xfinity upload speeds until the very last step of purchasing an internet plan, and this could be effectively addressed by requiring ISPs to publicly advertise upload speeds alongside download speeds on their website.",negative,negative,negative,"effectiveness of legislation, hard to regulate, consumer protection measures, Comcast, interface interference","consumer protection, Comcast, Xfinity, requiring ISPs, advertising","Comcast, consumer protection, interface interference",no
4/30/2024 16:45:16,Male,25 - 34,Some College,Content developer,1 - 2 years,Junior Software Engineer,"Current: Open-source developer for OpenTTD, past: Durango & Silverton Narrow Gauge Railroad",Railroad,1,No,Not applicable/I've never implemented a dark pattern design before,No,"n/a, I have not implemented dark patterns.","Ethical considerations, One project is an open-source game, the other is for internal users. And I'm not a monster.",Very negative,Very negative,5,No,,,,,,No,,,,,,Encouraging a culture of transparency and accountability within development teams,,,,,,,,,,,,,
5/1/2024 12:42:53,Prefer not to say,18 - 24,High School,Czech Republic,3 - 5 years,Software Engineer,,"Technology/Software Company, Medical/Healthcare, Education, Non-profit Organization",5,No,Not applicable/I've never implemented a dark pattern design before,No,Pressure from stakeholders or management,"Ethical considerations, Company culture",Neutral,Negative,4,Not Applicable,,,,,,No,,,,,,"Strict adherence to ethical guidelines in UI/UX design, Implementation of industry-wide standards or regulations, Encouraging a culture of transparency and accountability within development teams",,,,,,dark patterns should be brought to attention of general public,netural,neutral,neutral,"educate users, improve awareness",attention from generalpublic,"dark pattern education, awareness",
