Timestamp,Gender,Age,Education,Occupation,How long do you use the mobile phone in your daily life?,How long do you use the laptop/desktop in your daily life?,What do you primarily use your devices for?,How familiar are you with the concept of dark patterns (deceptive patterns) in user interface design?,"What is your reactions when you detect the following dark pattern design? 
(Nagging: imagine when you are using Instagram, it keeps nagging you to turn on notifications, repeating this regularly over a period of time...)",Can you describe your reactions more in detail regarding the previous example? ,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Nagging) of dark pattern? ,Which application(s) do you face with (Nagging) dark pattern designs the most?,How confident are you in your ability to detect the (Nagging) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Nagging) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Obstruction: imagine you sign up and subscribe to a service very easily, however, you find out it's extremely hard to cancel as you are required to call customer service to cancel or more effort is needed...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Obstruction) of dark pattern? ,Which application(s) do you face with (Obstruction) dark pattern designs the most?,How confident are you in your ability to detect the (Obstruction) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Obstruction) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Sneaking: Imagine you intend to buy a product online for its lower price compared to other sellers, you're drawing to go through a lengthy series of steps, and then at the end immediately before payment, reveal a final higher price...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Sneaking) of dark pattern? ,Which application(s) do you face with (Sneaking) dark pattern designs the most?,How confident are you in your ability to detect the (Sneaking) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Sneaking) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Interface Interferences: Imagine you want to unsubscribe email notification from Amazon, but you spend an amount of time to locate the ""unsubscribe here"" button because it grayed out in front of a gray background, making it harder to see...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Interface Interferences) of dark pattern? ,Which application(s) do you face with (Interface Interferences) dark pattern designs the most?,How confident are you in your ability to detect the (Interface Interferences) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Interface Interferences) dark pattern example?,"What is your reactions when you detect the following dark pattern design? 
(Forced Action: Imagine you have to accept the newsletter subscription to continue signing up for an account for a product...)",Can you describe your reactions more in detail regarding the previous example?,Researcher#1-positive/negative/neutral,Researcher#2-positive/negative/neutral,Final,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final,How often do you encounter this type (Forced Action) of dark pattern? ,Which application(s) do you face with (Forced Action) dark pattern designs the most?,How confident are you in your ability to detect the (Forced Action) dark pattern example?,How confident are you in your ability to avoid being trapped by the (Forced Action) dark pattern example?,What are your reactions toward applications when encountering dark patterns?,Can you think of other example(s) you have experienced of dark pattern designs?,Researcher#1-Keywords/Themes,Researcher#2-Keywords/Themes,Final
6/10/2024 11:40:58,Female,25 - 34,Doctoral degree,Graduate Research Assistant,More than 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",1,"Mild concern, Frustration, Annoyance","I feel like I have data being collected someway, so I get first annoyed by that and sometimes frustrated for being on the ""automatic"" and clicking my screen right away. ",negative,negative,negative,"data collection, annoying, frustrated","data collected, annoyed, frustrated, ""automatic""","data collection, annoying, frustrated",Frequently,"Amazon, Facebook, Google, Instagram, Twitter",2,1,"Frustration, Anger, Distrust, Disappointment, Annoyance",It feels like I am being trapped online and to avoid headaches I would just mark those emails as spam.,negative,negative,negative,"trapped, mark spam","trapped, online, emails, spams","trapped, online option, spams",Very frequently,"Google, Expedia",5,5,"Mild concern, Frustration, Anger, Distrust, Disappointment, Annoyance",It feels again like being trapped and I feel like a foul for wasting my time.,negative,negative,negative,"trapped, foul, waste time","trapped, time waste","trapped, waste of time",Very frequently,"Google, Instagram, Twitter, TikTok, Expedia",5,2,"Mile concern, Frustration, Anger, Distrust, Disappointment, Annoyance","It seems like they do this to make people's life more complicated, especially for people who have vision problems or don't know how to deal with these technologies. I. Sometimes I feel helpless",negative,negative,negative,"complicate life, unfriendly to disabilities, vision problems, helpless","complicated, vision problems, technology literacy, helpless","complicated, unfriendly to disabilities, vision problems, helpless",Very frequently,"Amazon, Facebook, Google, Microsoft, Instagram, Twitter, TikTok, YouTube, Expedia",3,2,"Distrust, Annoyance",I feel like I need to have another email account only for the unnecessary emails I will get from them,neutral,negative,negative,another email account to keep junk,another email account for unnecessary emails,junk/spam email inbox,Frequently,"Google, Instagram, Specific product websites",5,5,"Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Share Feedback on App Store/Review Platform",Not at this moment,None,no,no
6/10/2024 11:45:51,Female,18 - 24,Bachelor's degree,Graduate Student,2 to 4 hours,4 to 6 hours,"Work or Professional Tasks, Browsing the Internet, Social Media, Entertainment",1,"Frustration, Annoyance","I get frustrated and annoyed when apps constantly ask for my input, even when I have already input an answer because it interrupts the rest of my user experience.",negative,negative,negative,"frustrated, annoying, destory user experience","frustrated, annoyed, input, user experience","frustrated, annoying, user experience",Occasionally,"Facebook, Instagram",3,2,"Frustration, Disappointment, Annoyance","Similar emotions as before, but this time it's because I feel it is a waste of my time to have to contact additional people for something as simple as canceling a subscription",negative,negative,negative,"frustratied, disappointed, annoying, waste time","waste of time, contact additional people, cancel subscription","frustrated, annoying, waste of time",Rarely,NA,2,2,Anger,"I get angry when I feel misled, especially if I thought something was within my budget but it turns out not to be",negative,negative,negative,"angry, misled, out of budget","angry, misled, not in budget","angry, misled, out of budget",Occasionally,Airbnb and Ticketmaster,2,2,Neutral,I don't have much of a reaction to this because usually the unsubsribe links are in similar places across emails,neutral,neutral,neutral,"used to it, same location","similar place in emails, no reaction","no reaction, same location, used to it",Frequently,"Amazon, LinkedIn, Any online retailer, whether clothing, books, games, etc",4,4,"Frustration, Disappointment, Annoyance",It makes me upset because I either don't end up buying the product or have to waste time unsubscribing after,negative,negative,negative,"upset, give up, waste time, unsubscribe in future","upset, not buy product, waste of time, unsubscribing","upset, give up, waste of time, unsubscribe in future",Occasionally,Race websites for running,3,3,"Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Immediately Stop Using the Application",NA,N/A,,no
6/10/2024 11:47:23,Female,18 - 24,Bachelor's degree,Graduate Student,More than 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Entertainment",1,"Mild concern, Frustration, Annoyance",It becomes more annoying if the notification appears more than once. ,negative,negative,negative,"annoying, frequent popup","notifications, more than once, nagging","annoying, frequent pop-ups, nagging",Occasionally,"Google, Instagram, Twitter, YouTube",4,4,"Distrust, Annoyance",The obstruction is annoying because it should be as easy to cancel as it was to set up.,negative,negative,negative,"annoying, equal efforts of subscription and unsubscribe","obstruction, annoying, hard to cancel","annoying, hard to cancel, equal efforts of subscription",Rarely,Facebook,5,4,"Frustration, Disappointment, Annoyance",It is frustrating when the actual price is not shown from the beginning and is a mystery until the end. ,negative,negative,negative,"frustrated, inconsistentance","frustrating, not actual price in the beginning, mystery","frustrated, inconsistent, price increase",Frequently,"Amazon, Online food ordering",5,4,Annoyance,These designs feel like they are intentionally difficult when trying to find the desired options.,neutral,negative,negative,intentional difficult,"intentionally difficult, desired options, difficult to find","intentional difficult, hard to locate",Occasionally,"Google, Microsoft",4,4,"Frustration, Annoyance",It is annoying because I will have to remember to go back and change the forced action later to the settings I actually want.,negative,negative,negative,"annoying, unsubscribe in future","annoying, remember to go back, foorced action to settings I want","annoying, unsubscribe in future, forced action",Occasionally,online clothing retailers,5,3,"Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings, Immediately Stop Using the Application",,,,
6/10/2024 11:51:20,Female,25 - 34,Master's degree,Graduate Student,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Gaming",3,Annoyance,"I would be annoyed if I had to keep clicking ""not now"" with the associated image and would interrupt what I was doing. ",negative,negative,negative,"annoying, interruption, ""not now""","""not now"", interruption, associated image","annoying, interruption, ""not now""",Occasionally,Google,3,3,"Frustration, Annoyance",,,,,,,,Rarely,Sirius XM,4,4,"Frustration, Disappointment, Annoyance",,,,,,,,Frequently,"Amazon, Stores where I am purchasing online",5,4,"Frustration, Annoyance",,,,,,,,Frequently,"Kohl's, Sirius XM",5,5,"Frustration, Disappointment, Annoyance","If I was unable to use a service without signing up for additional newsletters/ads, I would be irritated that it hindered my desire to play the game. ",negative,negative,negative,"irritated, reduce desire","unable to use service, without signing up, additional newsletters/ads, irritated, hindered desired to play, game","irritated, reduce desire, signup required",Never encountered,I haven't seen this in any game or company yet. ,3,3,"Look for Alternatives, Opt-Out or Unsubscribe, Immediately Stop Using the Application",,,,
6/10/2024 11:57:40,Male,35 - 44,Master's degree,Ph.D. Student,1 to 2 hours,More than 6 hours,"Education, Work or Professional Tasks, Social Media",3,Mild concern,,,,,,,,Rarely,Facebook,3,3,Frustration,,,,,,,,Rarely,"Other websites such as in car insurance websites, etc.",4,4,Anger,,,,,,,,Rarely,"Online shoping websites such as Walmart, Petsmart, etc.",5,4,Frustration,,,,,,,,Occasionally,I have faced such dark pattern in some websites,5,4,Frustration,,,,,,,,Occasionally,I have faced such dark pattern in some websites,5,4,"Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe",,,,
6/10/2024 11:59:16,Male,18 - 24,Master's degree,Student,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media",3,"Frustration, Annoyance",It annoys me as it keeps covering the content and everytime i have to say 'not now',negative,negative,negative,"annoying, ""not now"", block information","annoyed, covering content, ""not now""","annoying, ""not now"", block information",Occasionally,"Facebook, Instagram",4,3,"Frustration, Distrust, Annoyance",It is exhausting sometimes to manually unsubscribe all these. Most of the unsubscribe buttons are difficult to locate. Some even have UI designed in such a way that the unsubcribe button is too weak where as the subscribe is very Evident,negative,negative,negative,"exhausted, interface interference, unsubscribe button","exhausting, manually unsubscribe, button difficult to locate, sneaking, UI/UX design","exhuasted, interface interference, unsubscribe, sneaking",Very frequently,"Facebook, Google, Instagram, YouTube",5,5,Disappointment,It breaks the trust and I will avoid shopping in such websites,negative,negative,negative,"distrust, avoid using app","break trust, avoid shopping, websites","distrust, stop using app",Very frequently,"Amazon, Walmart",5,5,Annoyance,The UI are designed in such misleading way to make it extremely difficult for us to locate the 'unsubscribe'.,negative,negative,negative,"misleading, intentional difficult, malicious UI design","misleading, UI design, extremely difficult to locate button, unsubscribe","misleading, intentional difficult, bad design",Very frequently,"Google, YouTube",5,3,"Distrust, Disappointment, Annoyance",,,,,,,,Occasionally,Expedia,5,2,"Continue Using with Caution, Opt-Out or Unsubscribe",,,,
6/10/2024 12:08:20,Male,25 - 34,Doctoral degree,PhD Candidate,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Online Shopping, Entertainment",1,"Frustration, Anger, Annoyance","If I choose to turn off notifications, it means that I am not interested in receiving updates. It annoys me a lot when it keeps reminding me to turn on the notification.",negative,negative,negative,"annoying, turn off","annoyed, turn on notifications, nagging","annoying, nagging, notification off",Occasionally,Google,1,1,"Frustration, Anger, Distrust, Annoyance","I like the one-button cancelation choice. Click the 'unsubscribe' and I am done. If it directs me to a webpage and asks why I unsubscribe, I have no patience to answer the survey. ",negative,negative,negative,"simple operation, no patience, direct to a webpage","""one button"" cancellation, unsubscribe, webpage, no patience","simple operation, no patience",Frequently,"Amazon, Facebook",1,1,"Frustration, Anger, Annoyance","What the heck if I pay a higher price after completing numerous steps inputting my credit card, shipping address etc. ",netural,negative,negative,"out of ability, helpless","angry, price after completing steps, credit card info","angry, credit card inforation, price increase, helpless",Frequently,"Google, Instagram",1,1,"Frustration, Anger, Annoyance",I like the clear spotting button. ,neutral,neutral?,neutral,clear spotted button,"clear button, ease of use","clear UI, ease of use",Very frequently,"Amazon, Google, Instagram, LinkedIn",2,2,Neutral,"Due to my background in business and law, I understand by default we opt in receiving updates. I always have a pre-understanding that I need to opt out. Thus, I am neutral to that. ",neutral,neutral,neutral,"understandable, pre-understanding, opt-out in future","business, law, default, opt-in, receiving update, pre-understanding, opt-out","law, business, pre-understanding, unsubscribe in future",Very frequently,"Amazon, Facebook, Google, Instagram, LinkedIn",4,4,"Ignore the Dark Pattern, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings", I cannot. ,N/A,no,no
6/10/2024 12:09:07,Male,25 - 34,Master's degree,Student,2 to 4 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media",2,"Frustration, Anger, Annoyance",I feel like I do not need to view these notifications and that they are asking me to sway away from what I primarily came to do.,negative,negative,negative,"manipulation, trick users to do unwanted actions","notifications, distract user, nagging","manipulation, nagging, trick users",Occasionally,"Facebook, Google, Instagram, YouTube, Any application that enables notifications - Google News",4,4,"Frustration, Anger, Distrust, Disappointment",Feels like being cheated that subscribing is a one click job but removing subscription is not,negative,negative,negative,cheated,"subscription, one click, hard to cancel","hard to cancel, cheated",Rarely,"LinkedIn, YouTube, Expedia",4,4,"Mild concern, Anger, Distrust, Disappointment",Feels like a distrust that the additional costs added are quite a hefty percentage compared to the base prices,negative,negative,negative,distrust,"distrust, additional costs, hefty percentage, base price increase","distrust, price increase",Very frequently,"Amazon, LinkedIn, Ticketmaster , Ebay , etc.",5,5,Frustration,If the mails are spamming then it is frustrating to not be able to disable them,negative,negative,negative,"spam, frustrated, hard to disable","mails, spamming, frustrating, disable","spam, frustrated, hard to cancel",Occasionally,"Amazon, Facebook, Microsoft",4,4,Neutral,Feels like its a very common thing these days.,neutral,neutral,neutral,common,common these days,common,Frequently,"LinkedIn, Slack, Steam",4,4,"Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",Not as of the moment. ,None,no,no
6/10/2024 12:14:17,Female,25 - 34,Doctoral degree,Graduate Student,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",1,"Mild concern, Frustration","I would feel frustrated because I want to decide for myself whether to turn on notifications. Being asked feels like I'm being forced to do something unnecessary, which makes me feel monitored and that my privacy is being invaded.",negative,negative,negative,"frustrated, privacy invasion, monitored, forced action","forced, unnecessary, privacy, monitered, invaded","forced action, privacy invasion, monitored, frustrated",Occasionally,"Amazon, Expedia, Shopping and news applications",3,2,"Disappointment, Annoyance","This happens to me all the time. Sometimes I sign up for a newsletter because it interests me, or I join a shopping app for a discount. In some cases, I don't even realize I've signed up. However, unsubscribing is often not easy. I feel really disappointed by the app and the system, and I get angry if unsubscribing requires multiple steps.",negative,negative,negative,"join for discount, shopping app, disappointed, angry","shopping app, newsletter, disappointed, angry, multiple steps","shopping app, angry, join for discount, disappointed",Frequently,"Amazon, Expedia, Shopping applications mainly, or some news applications. I faced this issue with Quora and had a really frustrating experience to unsubscribe.",3,1,"Frustration, Distrust, Disappointment, Annoyance","It is time-consuming, and I feel like my time is being wasted on something ineffective. In my opinion, it's deceptive, and it makes me feel really annoyed.",negative,negative,negative,"waste time, ineffective, deceptive, annoying","time consuming, time wasted, deceptive, annoyed","waste of time, annoying, deceptive",Rarely,Hotel reservation and booking apps that shows multiple options to choose from,4,4,"Frustration, Annoyance","This has happened to me before, and it usually annoys me. Sometimes I give up and keep receiving the newsletter, but eventually, I get frustrated enough to spend the time finding the unsubscribe button or even cancel my subscription.",negative,negative,negative,"annoying, keep receiving, frustrated, search button, cancel ","annoyed, frustrated, unsubscribe, newsletter","annoying, frustrated, searching, unsubscribe",Frequently,"Amazon, Again shopping, news apps, apps like Quora ",3,2,"Mild concern, Frustration, Disappointment","At first, I feel mild concern, but nothing too serious because I can choose not to sign up for the application. However, if I keep receiving repetitive and unhelpful notifications, I feel disappointed with the application and likely unsubscribe or cancel everything.",negative,negative,negative,"mild concern, choose not to, annoying notifications, disappointed, unsubscribe in future","mild concern, choose not to sign up, repititive, notifications, disappointed, unsubscribe","mild concern, choose not to, annoying notifications, disappointed, unsubscribe in future",Occasionally,Again shopping apps or news apps,4,4,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe","I am not sure if it qualifies as a dark pattern, but some streaming platforms make it difficult to cancel subscriptions by asking a series of questions. For instance, once I was trying to cancel a platform (either HBO Max, Hulu, or Disney), and they asked multiple questions and made various offers. I clicked through them quickly but was already frustrated by the steps. I didn't realize there was a final button to confirm the cancellation. A month later, I saw the platform's charge on my card, went back to see what happened, and realized I hadn't completed the cancellation process. In my opinion, it's deceptive to make subscribers go through multiple steps and almost hide the cancelation button to keep them subscribed for another month. It feels illegal.","streaming platforms, hard to cancel, hide cancelation button","streaming platforms, difficult to cancel subscriptions, questions, Disney/HBO/Hulu, alternate offers, hide cancellation in too many steps, deceptive design","streaming platforms, hard to cancel, hidden UIs, deceptive design"
6/10/2024 12:22:26,Male,25 - 34,Doctoral degree,Graduate Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",3,Curiosity,I would be disturbed and skeptical to use the app,negative,negative,negative,"disturbed, skeptical","disturbed, skeptical","disturbed, skeptical",Rarely,"Facebook, Expedia",2,4,Appreciation,I aprreciate that they are concerned about my privacy,positive,positive?,positive,concern privacy,privacy concern,privacy concerns,Very frequently,Amazon,2,2,Anger,I get angry,negative,negative,negative,angry,"angry, price after completing steps, credit card info","angry, price increase, credit card information",Occasionally,Amazon,2,2,Curiosity,curious,neutral,neutral?,neutral,curious,curious,curious,Rarely,Amazon,1,1,Mild concern,this disturbs me as I need to avoid it,negative,negative,negative,"disturb, want to avoid","disturbing, avoid it","disturbing, want to avoid",Occasionally,Instagram,1,1,"Ignore the Dark Pattern, Continue Using with Caution",,,,
6/10/2024 12:36:13,Male,25 - 34,Bachelor's degree,Grad Student,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Social Media, Online Shopping, Entertainment",2,"Appreciation, Trust","Such an example above, I believe is a way to improve my experience on the app and/or platform. I treat notifications as this with appreciation for their thoughts to help improve my experience but more often than not  I decline.",positive,neutral,positive,"appreciation, improve user experience","better user expereince with notifications, decline ",improve user experience,Occasionally,"Facebook, YouTube",4,4,Distrust,Having to call cc to cancel subscription is a sign that they are up to no good.,negative,negative,negative,bad intention,"customer service, hard to cancel","hard to cancel, bad intention",Never encountered,none of these,4,4,Distrust,,,,,,,,Never encountered,none of these,5,4,Mile concern,,,,,,,,Occasionally,major websites,3,4,Distrust,,,,,,,,Occasionally,mostly websites,4,4,Opt-Out or Unsubscribe,A website (that must have gotten my info from the internet)trying to sell me auto insurance. It was difficult to initial locate the unsubscribe icon but I eventually did after through search.,"data breach, auto insurance, unsubscription, obstruction, interface interference","website,contact info from internet, sell auto insurance, locate unsubscribe, ","website, data collection, auto insurance, hard to locate, interface interference"
6/10/2024 12:37:04,Male,25 - 34,Master's degree,Ph.D. candidate,2 to 4 hours,More than 6 hours,"Work or Professional Tasks, Communication/Networking, Social Media",1,Frustration,,,,,,,,Frequently,"Amazon, Facebook, Instagram, LinkedIn, YouTube",4,2,Anger,,,,,,,,Occasionally,Instagram,3,2,"Anger, Distrust",,,,,,,,Frequently,"Amazon, Facebook, Instagram, YouTube, Temu",4,1,"Anger, Distrust",,,,,,,,Very frequently,"Amazon, Google, Microsoft, LinkedIn, Twitter, TikTok, YouTube",4,1,"Frustration, Anger, Distrust",,,,,,,,Frequently,"Facebook, LinkedIn",4,1,"Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe, Adjust Privacy and Notification Settings",,,,
6/10/2024 12:37:42,Female,25 - 34,Doctoral degree,Ph.D Student ,4 to 6 hours,More than 6 hours,"Education, Work or Professional Tasks",3,Frustration,Not having my notifications turned on on social media is to help me focus more. When I keep getting this pop ups . I find it unpleasant ,negative,negative,negative,"notification off, social media, frequent popup, unpleasant","focus, notifications turned off, pop-ups, unpleasant","notification off, frequent pop-ups, social media",Frequently,"Amazon, Facebook, Instagram, LinkedIn, Slack, TikTok, YouTube",4,3,Appreciation,,,,,,,,Occasionally,YouTube,3,3,Understanding,,,,,,,,Rarely,Amazon,3,4,Neutral,,,,,,,,Occasionally,Amazon,4,2,Mild concern,,,,,,,,Frequently,Facebook,3,4,Adjust Privacy and Notification Settings,,,,
6/10/2024 12:50:40,Male,25 - 34,Bachelor's degree,Graduate Student ,4 to 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Entertainment",3,"Curiosity, Mild concern, Annoyance",Something I need to address right away,netural,negative,neutral,address,address right away,address,Occasionally,"Facebook, Instagram, YouTube",3,4,"Frustration, Anger, Distrust",Feeling like giving up because it’s too much work,negative,negative,negative,give up,"too much work, giving up","too much work, give up",Occasionally,"Amazon, Facebook, Xfinity",2,2,"Frustration, Anger, Distrust, Disappointment, Annoyance","Sometimes the offer is not clearly described. Once I check out, I come to know a different price. Then it feels like a waste of time.",negative,negative,negative,"unclear description, waste time","offer not well described, check out, different price, waste of time","waste of time, price increase, unclear description",Frequently,"Facebook, Temu",2,2,"Understanding, Mile concern",Mostly I fine the unsubscribe button at the bottom of the email. ,neutral,neutral,neutral,"used to it, same location","bottom of email, subcribe button","no reaction, same location, used to it",Occasionally,"Facebook, Microsoft, Instagram, LinkedIn, Slack, Twitter, TikTok, YouTube, Expedia",2,3,"Frustration, Anger, Disappointment, Annoyance","Mostly I can not move forward if I dont check the button. So with a bit of frustration, I check it",negative,negative,negative,check with frustration,"forced action, frustration, obstruction","forced action, unwanted action, frustrated",Very frequently,"Facebook, Google, LinkedIn, Slack, Twitter",2,1,"Ignore the Dark Pattern, Continue Using with Caution, Look for Alternatives, Opt-Out or Unsubscribe",,,,
6/10/2024 12:52:56,Male,18 - 24,Master's degree,student,2 to 4 hours,4 to 6 hours,"Education, Work or Professional Tasks, Browsing the Internet, Social Media, Online Shopping, Entertainment",1,Anger,It annoying the app makes such suggestion to keep the user glued to their phone and at the beck and call of notifications.,negative,negative,negative,annoying,"suggestion, glued to their phone, call of notifications","annoying, addiction",Occasionally,"Amazon, YouTube",4,5,"Disappointment, Annoyance",It's disappointing and irritating that the companies make it difficult to unsubscribe as a process to discourage people from getting out of that coverage. Probably a loss for the companies.,negative,negative,negative,"disappointed, irritated, loss for companies","difficult, irritating, difficult to unsubscribe, discourage people, loss to companies","disappointed, irritated, loss for companies, hard to cancel",Occasionally,Private websites/subscriptions,4,5,Distrust,Hidden fees are annoying. Its a sign of distrust.,negative,negative,negative,"hidden fees, distrust, annoying","hidden fees, annoying, sneaking, distrust","hidden fees, distrust, annoying",Rarely,Facebook,4,5,"Anger, Annoyance",Just an irritating reminder to spend your money of things you may not need.,negative,negative,negative,"irritating reminder, financial loss","reminder, unnecessary things, nagging","irritating, financial loss",Frequently,"Google, YouTube",4,5,Frustration,It tiring to always close such ads as they are often irrelevant to you.,negative,negative,negative,"tiring, close ads","close ads, irrelevant","tiring, close ads",Frequently,"Facebook, Google",4,5,"Continue Using with Caution, Look for Alternatives, Immediately Stop Using the Application",,,,
6/10/2024 13:51:58,Male,25 - 34,Bachelor's degree,Veterinarian,More than 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Online Shopping, Gaming",2,"Distrust, Disappointment",,,,,,,,Occasionally,"Facebook, Instagram, LinkedIn, YouTube",3,2,"Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"Microsoft, LinkedIn, Twitter, YouTube",4,2,"Disappointment, Annoyance",,,,,,,,Occasionally,"Amazon, Microsoft",4,2,"Frustration, Anger",,,,,,,,Frequently,"Google, Microsoft",3,1,"Anger, Distrust",,,,,,,,Rarely,"Twitter, YouTube",4,2,"Continue Using with Caution, Look for Alternatives, Adjust Privacy and Notification Settings",,,,
6/10/2024 13:56:54,Male,25 - 34,Doctoral degree,PhD student,2 to 4 hours,More than 6 hours,"Education, Communication/Networking, Entertainment",2,"Neutral, Mild concern, Annoyance","Since it keeps popping up, it is a bit annoying but I just try to move on.",negative,negative,negative,"annoying, frequent popup","popping up, annoying, move on","frequent pop-ups, annoying",Rarely,"StackExchange, ResearchGate",3,3,Neutral,"At least, it has more description so that I have options what to do depending on my preference.",netural,positive,neutral,"options provided, depends on preference","more description, options, preference","depends on preference, options provided",Never encountered,N/A,4,4,"Frustration, Anger, Distrust, Disappointment, Annoyance","As you know, it is sneaky and feels like deceptive.",negative,negative,negative,"sneaking, deceptive","sneaky, deceptive","sneaky, deceptive",Rarely,Small online shops,5,5,Neutral,"As long as I can unsubscribe, it doesn't really matter to me.",neutral,neutral,neutral,not matter,as long as they can unsubscribe,not matter,Occasionally,auto insurance and credit card companies,5,5,Neutral,"Since it has an option not to receive any email, I just unselect this without any thoughts",neutral,neutral,neutral,opt-out option,"unselect to receive email, preselection","unselect option, preselection",Frequently,Majority of websites have these,5,5,Ignore the Dark Pattern,Not really,N/A,no,no
6/10/2024 14:14:05,Male,35 - 44,Doctoral degree,student,2 to 4 hours,More than 6 hours,"Education, Work or Professional Tasks",4,"Curiosity, Distrust",,,,,,,,Occasionally,"Facebook, Google",3,3,"Distrust, Annoyance",,,,,,,,Occasionally,"Facebook, Google",3,4,"Frustration, Distrust",,,,,,,,Occasionally,"Facebook, Google",2,2,"Frustration, Anger, Distrust",,,,,,,,Occasionally,"Amazon, Facebook",2,2,"Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Rarely,Amazon,2,2,Look for Alternatives,,,,
6/10/2024 14:17:17,Male,25 - 34,Master's degree,Student,4 to 6 hours,4 to 6 hours,"Education, Work or Professional Tasks, Communication/Networking, Browsing the Internet, Social Media, Online Shopping, Gaming, Entertainment",3,"Mild concern, Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Very frequently,"Amazon, Facebook, Google, Microsoft, Instagram, LinkedIn, Twitter, YouTube",5,5,"Frustration, Anger, Distrust, Disappointment, Annoyance",,,,,,,,Frequently,"Facebook, Instagram, LinkedIn, YouTube",5,5,"Frustration, Distrust, Disappointment",,,,,,,,Rarely,YouTube,2,2,"Frustration, Annoyance",,,,,,,,Occasionally,"Amazon, Facebook, Google, Microsoft, Instagram, YouTube",4,4,"Frustration, Anger",,,,,,,,Very frequently,Instagram,4,4,"Continue Using with Caution, Look for Alternatives, Share Feedback on App Store/Review Platform",,,,
6/10/2024 14:42:11,Female,25 - 34,Bachelor's degree,student,2 to 4 hours,2 to 4 hours,"Education, Communication/Networking, Browsing the Internet, Social Media, Online Shopping",1,"Anger, Annoyance",,,,,,,,Occasionally,Instagram,1,1,Anger,,,,,,,,Occasionally,Instagram,1,1,"Understanding, Distrust",,,,,,,,Occasionally,"Google, Instagram",1,1,"Anger, Distrust",,,,,,,,Occasionally,Instagram,1,1,"Understanding, Anger, Disappointment",,,,,,,,Rarely,"Google, Instagram, YouTube",1,1,"Ignore the Dark Pattern, Continue Using with Caution",,,,
